air plane,number cuush plane
Douglas C-47 Skytrain (DC-3),2171
PZL-Mielec AN-2,794
Curtiss C-46 Commando,638
Avro 652 Anson,532
De Havilland DH.60 Moth,450
Douglas DC-3,420
De Havilland DHC-2 Beaver,349
Britten-Norman Islander,341
Lockheed C-130 Hercules,326
Piper PA-31-310 Navajo,294
Consolidated PBY-5A Catalina,293
Consolidated B-24 Liberator,271
De Havilland DHC-6 Twin Otter,269
Cessna 402,265
Douglas C-54 Skymaster,265
Piper PA-31-350 Navajo Chieftain,257
Antonov AN-2,249
Avro 504,246
Beechcraft 90 King Air,236
Boeing B-17 Flying Fortress,236
Antonov AN-12,234
De Havilland DH.4,231
Douglas A-26 Invader,220
Airspeed AS.10 Oxford,201
Noorduyn Norseman,201
Lockheed L-414 Hudson,196
Cessna 208B Grand Caravan,192
Beechcraft C-45 Expeditor,189
Cessna 207 Skywagon/Stationair,185
Pilatus PC-6 (Porter & Turbo Porter),180
Lisunov LI-2,177
Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class),177
Fokker F27 Friendship,172
Antonov AN-26,171
Mitsubishi MU-2 Marquise,170
Avro 683 Lancaster,164
Beechcraft 200 Super King Air,162
Junkers JU.52,159
Antonov AN-24,156
Boeing B-29 Superfortress,155
Douglas DC-6,153
De Havilland DH.89 Dragon Rapide,151
Boeing 707,150
Lockheed 18 LodeStar,142
Vickers Viscount,137
Fairchild C-119 Flying Boxcar,134
Martin B-26 Marauder,133
Lockheed P-2 Neptune,132
Beechcraft D18,130
De Havilland DH.104 Dove,129
De Havilland DHC-3 Otter,127
Cessna 414 Chancellor,125
Piper PA-61 Aerostar (Ted Smith 601),123
Let L-410,120
North American B-25 Mitchell,119
Piper PA-31 Cheyenne,119
Beechcraft E18,118
Boeing 737-200,117
Cessna 340,114
Fletcher FU-24,114
Rockwell Grand Commander 680,110
Cessna 421C Golden Eagle III,102
Boeing B-52 Stratofortress,98
Douglas DC-9,97
Ilyushin II-14,97
Yakovlev Yak-40,97
Cessna 421B Golden Eagle II,96
Short S.25 Sunderland,94
Avro 679 Manchester,93
Fairchild C-123 Provider,93
Ilyushin II-18,93
Rockwell Aero Commander 500,93
Martin PBM Mariner,91
Armstrong Whitworth AW.38 Whitley,89
Avro 685 York,88
Beechcraft 80 Queen Air,86
Vickers 416 Wellington IC,85
Casa 212 Aviocar,83
Avro 748,81
De Havilland DH.9,80
Junkers F.13,80
Cessna 401,79
Embraer EMB-110 Bandeirante,78
Douglas C-53 Skytrooper (DC-3),77
Douglas DC-4,77
Douglas DC-8,76
Rockwell Shrike Commander 500,76
De Havilland DH.80 Puss Moth,75
De Havilland DHC-4 Caribou,75
Learjet 35,75
Lockheed L-1049 Super Constellation,75
Rockwell Grand Commander 690,74
Beechcraft 100 King Air,73
Ford 5,73
Piper PA-60 Aerostar (Ted Smith 600),72
Rockwell Aero Commander 560,72
Antonov AN-32,71
Cessna 404 Titan,71
BAe 125,70
Partenavia P.68,70
Breguet 14,69
Cessna 208A Caravan,68
Douglas DC-2,68
Grumman G-21A Goose,68
Vickers Valetta,68
