year,,year count
1918,47950,25
1919,159277,83
1920,243840,127
1921,265098,138
1922,203732,106
1923,128841,67
1924,94276,49
1925,138600,72
1926,198378,103
1927,256291,133
1928,443440,230
1929,540120,280
1930,496010,257
1931,434475,225
1932,405720,210
1933,417528,216
1934,402272,208
1935,363780,188
1936,420112,217
1937,319605,165
1938,395352,204
1939,463421,239
1940,890460,459
1941,650235,335
1942,1355516,698
1943,1587431,817
1944,1837080,945
1945,1433465,737
1946,825104,424
1947,722337,371
1948,761668,391
1949,684099,351
1950,830700,426
1951,957941,491
1952,788608,404
1953,658161,337
1954,566660,290
1955,545445,279
1956,477264,244
1957,516648,264
1958,532576,272
1959,474078,242
1960,458640,234
1961,513782,262
1962,514044,262
1963,414193,211
1964,536172,273
1965,575745,293
1966,552446,281
1967,694351,353
1968,669120,340
1969,716716,364
1970,652070,331
1971,614952,312
1972,741472,376
1973,733956,372
1974,625758,317
1975,655700,332
1976,606632,307
1977,735444,372
1978,807024,408
1979,757957,383
1980,750420,379
1981,633920,320
1982,612438,309
1983,573087,289
1984,563456,284
1985,587560,296
1986,548136,276
1987,677567,341
1988,608328,306
1989,670293,337
1990,561180,282
1991,535579,269
1992,575688,289
1993,595907,299
1994,496506,249
1995,588525,295
1996,544908,273
1997,503244,252
1998,499500,250
1999,467766,234
2000,462000,231
2001,458229,229
2002,460460,230
2003,450675,225
2004,390780,195
2005,423055,211
2006,425272,212
2007,391365,195
2008,425696,212
2009,365638,182
2010,377880,188
2011,361980,180
2012,358136,178
2013,348249,173
2014,336338,167
2015,352625,175
2016,306432,152
2017,260193,129
2018,264358,131
2019,292755,145
2020,228260,113
2021,228373,113
2022,78858,39
